Chapter,Media Link,Media Credit,Media Credit Link,Description,Zoom,Marker,Marker Color,Location,Latitude,Longitude,Overlay,Overlay Transparency,GeoJSON Overlay,GeoJSON Feature Properties
About Rumah Belajar Saab Shares,,,,"Rumah Belajar Saab Shares adalah program pelayanan pendidikan gratis khusus untuk anak-anak yang kurang mampu, yang menyediakan pendidikan holistik. Kita tidak hanya fokus di pendidikan, melainkan pembentukan karakter serta mempersiapkan para murid dengan berbagai macam keterampilan yang diperlukan agar kelak mereka bisa mandiri secara finansial tanpa melupakan akhlak yang baik.<br><br>Dari kelas bahasa asing, pembentukan karakter, kelas etika, public speaking, pengetahuan tentang teamwork, leadership skills, serta kelas musik (angklung, pianika, keyboard dll) dan tari.",,,,,,,,,,
"Cengkareng, Jakarta Barat",,,,"Jl. Dolar, RT.11/RW.14, Kapuk, Kecamatan Cengkareng, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11720",16,Numbered,blue,,-6.14424,106.747153,,,,
Bekasi,,,,,16,Numbered,blue,,-6.240169207,106.9716582,,,,
"Dusun Tubin, Jogja",,,,,16,Numbered,blue,,-7.912714877,110.2419259,,,,
"Tanahmerah, Papua",,,,,16,Numbered,blue,,-6.080220199,140.2762328,,,,
"Telukdalam, Nias Selatan",,,,,16,Numbered,blue,,0.5702189272,97.81169046,,,,
"Desa Hilizamurugo, Nias Selatan",,,,,16,Numbered,blue,,0.7748447144,97.84798897,,,,
"Desa Tetezòu, Kec. Lahusa, Kab. Nias Selatan",,,,,16,Numbered,blue,,0.7721549924,97.88481209,,,,
"Desa Fanedanu, kec.Somambawa, Kab.Nias Selatan",,,,,16,Numbered,blue,,0.9029504746,97.77395845,,,,
Desa Sobawagoli Kecamatan Lahusa Kab Nias Selatan,,,,,16,Numbered,blue,,0.7610433158,97.8729366,,,,
"Desa Lolozasai, Kec.Gido, Kab.Nias",,,,,16,Numbered,blue,,1.142385371,97.68048436,,,,
"Desa Fodo, Kec. Gunungsitoli Selatan",,,,,16,Numbered,blue,,1.248080189,97.64212033,,,,
"Jalan Pelita, Gunungsitoli",,,,,16,Numbered,blue,,1.280656125,97.62586683,,,,
"Desa Hilimbosi, Nias Utara",,,,,16,Numbered,blue,,1.402009135,97.49492214,,,,
"Desa Boholu, Kec. Amandraya, Kab. Nias Selatan",,,,,16,Numbered,blue,,0.7272902103,97.69552987,,,,
"Desa Simaeasi, Kecamatan Mandrehe, Kabupaten Nias Barat",,,,,16,Numbered,blue,,1.037081972,97.5075005,,,,
Sifalaete Tabaloho-Gunungsitoli,,,,,16,Numbered,blue,,1.252062435,97.62136494,,,,
"Desa Orahili, Kec. Sirombu,Nias Barat-Sumut",,,,,16,Numbered,blue,,0.977164175,97.46050072,,,,
"Desa Sisobawino II, Nias Barat",,,,,16,Numbered,blue,,1.033238675,97.60653842,,,,
"Kec. Banyudono, Boyolali",,,,,16,Numbered,blue,,-7.541752782,110.6800762,,,,
"Grujugan,Bondowoso",,,,,16,Numbered,blue,,-7.973173783,113.7761207,,,,
"Nangkaan, Bondowoso",,,,,16,Numbered,blue,,-7.930671545,113.8080575,,,,
"Desa Sumber Agung,Jambi",,,,,16,Numbered,blue,,-1.715952386,103.8669586,,,,
"Desa Bukit Tinggi, Nias",,,,,16,Numbered,blue,,1.01395439,97.53296347,,,,
"Desa Lologolu, Nias Barat",,,,,16,Numbered,blue,,1.05389009,97.5474747,,,,
"Desa Mazingo, Nias Barat",,,,,16,Numbered,blue,,1.024774486,97.44007511,,,,
"Desa Antutan, Kalimantan Utara",,,,,16,Numbered,blue,,2.755025535,117.2979292,,,,
End,,,,,,Hidden,,,,,,,,